n: np: a: b: równo(0)/opty(1)
7.000000 150.000000 -6.000000 6.000000 0 /nxp:        fxp:       Ln:
-6.000000  5.761022  5.761022
-5.920000  5.533838  5.069164
-5.840000  5.275800  4.460784
-5.760000  4.989497  3.929238
-5.680000  4.677667  3.468222
-5.600000  4.343169  3.071759
-5.520000  3.988961  2.734190
-5.440000  3.618076  2.450161
-5.360000  3.233596  2.214618
-5.280000  2.838630  2.022795
-5.200000  2.436287  1.870206
-5.120000  2.029656  1.752630
-5.040000  1.621781  1.666112
-4.960000  1.215639  1.606945
-4.880000  0.814117  1.571663
-4.800000  0.419995  1.557037
-4.720000  0.035924  1.560061
-4.640000  0.335592  1.577946
-4.560000  0.692207  1.608111
-4.480000  1.031757  1.648173
-4.400000  1.352265  1.695945
-4.320000  1.651955  1.749421
-4.240000  1.929263  1.806771
-4.160000  2.182845  1.866334
-4.080000  2.411580  1.926612
-4.000000  2.614574  1.986259
-3.920000  2.791168  2.044074
-3.840000  2.940930  2.098997
-3.760000  3.063659  2.150102
-3.680000  3.159377  2.196585
-3.600000  3.228330  2.237764
-3.520000  3.270975  2.273068
-3.440000  3.287972  2.302033
-3.360000  3.280179  2.324294
-3.280000  3.248633  2.339580
-3.200000  3.194543  2.347708
-3.120000  3.119273  2.348578
-3.040000  3.024325  2.342163
-2.960000  2.911330  2.328511
-2.880000  2.782020  2.307732
-2.800000  2.638223  2.279998
-2.720000  2.481832  2.245536
-2.640000  2.314799  2.204622
-2.560000  2.139107  2.157578
-2.480000  1.956757  2.104766
-2.400000  1.769745  2.046584
-2.320000  1.580050  1.983462
-2.240000  1.389610  1.915856
-2.160000  1.200310  1.844248
-2.080000  1.013963  1.769136
-2.000000  0.832294  1.691035
-1.920000  0.656927  1.610470
-1.840000  0.489374  1.527976
-1.760000  0.331015  1.444091
-1.680000  0.183098  1.359355
-1.600000  0.046719  1.274306
-1.520000  0.077177  1.189478
-1.440000  0.187810  1.105395
-1.360000  0.284565  1.022572
-1.280000  0.366995  0.941510
-1.200000  0.434829  0.862697
-1.120000  0.487964  0.786599
-1.040000  0.526469  0.713665
-0.960000  0.550579  0.644322
-0.880000  0.560693  0.578971
-0.800000  0.557365  0.517988
-0.720000  0.541300  0.461724
-0.640000  0.513341  0.410497
-0.560000  0.474463  0.364599
-0.480000  0.425758  0.324287
-0.400000  0.368424  0.289788
-0.320000  0.303755  0.261296
-0.240000  0.233121  0.238970
-0.160000  0.157956  0.222933
-0.080000  0.079744  0.213275
0.000000  0.000000  0.210050
0.080000  0.079744  0.213275
0.160000  0.157956  0.222933
0.240000  0.233121  0.238970
0.320000  0.303755  0.261296
0.400000  0.368424  0.289788
0.480000  0.425758  0.324287
0.560000  0.474463  0.364599
0.640000  0.513341  0.410497
0.720000  0.541300  0.461724
0.800000  0.557365  0.517988
0.880000  0.560693  0.578971
0.960000  0.550579  0.644322
1.040000  0.526469  0.713665
1.120000  0.487964  0.786599
1.200000  0.434829  0.862697
1.280000  0.366995  0.941510
1.360000  0.284565  1.022572
1.440000  0.187810  1.105395
1.520000  0.077177  1.189478
1.600000  0.046719  1.274306
1.680000  0.183098  1.359355
1.760000  0.331015  1.444091
1.840000  0.489374  1.527976
1.920000  0.656927  1.610470
2.000000  0.832294  1.691035
2.080000  1.013963  1.769136
2.160000  1.200310  1.844248
2.240000  1.389610  1.915856
2.320000  1.580050  1.983462
2.400000  1.769745  2.046584
2.480000  1.956757  2.104766
2.560000  2.139107  2.157578
2.640000  2.314799  2.204622
2.720000  2.481832  2.245536
2.800000  2.638223  2.279998
2.880000  2.782020  2.307732
2.960000  2.911330  2.328511
3.040000  3.024325  2.342163
3.120000  3.119273  2.348578
3.200000  3.194543  2.347708
3.280000  3.248633  2.339580
3.360000  3.280179  2.324294
3.440000  3.287972  2.302033
3.520000  3.270975  2.273068
3.600000  3.228330  2.237764
3.680000  3.159377  2.196585
3.760000  3.063659  2.150102
3.840000  2.940930  2.098997
3.920000  2.791168  2.044074
4.000000  2.614574  1.986259
4.080000  2.411580  1.926612
4.160000  2.182845  1.866334
4.240000  1.929263  1.806771
4.320000  1.651955  1.749421
4.400000  1.352265  1.695945
4.480000  1.031757  1.648173
4.560000  0.692207  1.608111
4.640000  0.335592  1.577946
4.720000  0.035924  1.560061
4.800000  0.419995  1.557037
4.880000  0.814117  1.571663
4.960000  1.215639  1.606945
5.040000  1.621781  1.666112
5.120000  2.029656  1.752630
5.200000  2.436287  1.870206
5.280000  2.838630  2.022795
5.360000  3.233596  2.214618
5.440000  3.618076  2.450161
5.520000  3.988961  2.734190
5.600000  4.343169  3.071759
5.680000  4.677667  3.468222
5.760000  4.989497  3.929238
5.840000  5.275800  4.460784
5.920000  5.533838  5.069164
6.000000  5.761022  5.761022
