n: np: a: b: równo(0)/opty(1)
16.000000 150.000000 -3.000000 3.000000 1 /nxp:        fxp:       Ln:
-3.000000  2.969977  3.003102
-2.960000  2.911330  2.879552
-2.920000  2.848602  2.824122
-2.880000  2.782020  2.786031
-2.840000  2.711816  2.739862
-2.800000  2.638223  2.676115
-2.760000  2.561481  2.594506
-2.720000  2.481832  2.499367
-2.680000  2.399523  2.396639
-2.640000  2.314799  2.292034
-2.600000  2.227911  2.190039
-2.560000  2.139107  2.093512
-2.520000  2.048639  2.003659
-2.480000  1.956757  1.920251
-2.440000  1.863709  1.841965
-2.400000  1.769745  1.766770
-2.360000  1.675110  1.692304
-2.320000  1.580050  1.616214
-2.280000  1.484804  1.536420
-2.240000  1.389610  1.451322
-2.200000  1.294702  1.359920
-2.160000  1.200310  1.261879
-2.120000  1.106657  1.157527
-2.080000  1.013963  1.047804
-2.040000  0.922439  0.934183
-2.000000  0.832294  0.818553
-1.960000  0.743725  0.703096
-1.920000  0.656927  0.590156
-1.880000  0.572084  0.482109
-1.840000  0.489374  0.381242
-1.800000  0.408964  0.289648
-1.760000  0.331015  0.209140
-1.720000  0.255679  0.141179
-1.680000  0.183098  0.086828
-1.640000  0.113403  0.046726
-1.600000  0.046719  0.021078
-1.560000  0.016842  0.009667
-1.520000  0.077177  0.011879
-1.480000  0.134194  0.026741
-1.440000  0.187810  0.052970
-1.400000  0.237954  0.089030
-1.360000  0.284565  0.133192
-1.320000  0.327592  0.183596
-1.280000  0.366995  0.238316
-1.240000  0.402747  0.295415
-1.200000  0.434829  0.353006
-1.160000  0.463234  0.409297
-1.120000  0.487964  0.462640
-1.080000  0.509035  0.511560
-1.040000  0.526469  0.554788
-1.000000  0.540302  0.591281
-0.960000  0.550579  0.620232
-0.920000  0.557355  0.641076
-0.880000  0.560693  0.653489
-0.840000  0.560669  0.657378
-0.800000  0.557365  0.652871
-0.760000  0.550875  0.640299
-0.720000  0.541300  0.620172
-0.680000  0.528749  0.593159
-0.640000  0.513341  0.560064
-0.600000  0.495201  0.521793
-0.560000  0.474463  0.479337
-0.520000  0.451266  0.433741
-0.480000  0.425758  0.386080
-0.440000  0.398091  0.337437
-0.400000  0.368424  0.288879
-0.360000  0.336923  0.241441
-0.320000  0.303755  0.196108
-0.280000  0.269096  0.153794
-0.240000  0.233121  0.115339
-0.200000  0.196013  0.081487
-0.160000  0.157956  0.052885
-0.120000  0.119137  0.030070
-0.080000  0.079744  0.013467
-0.040000  0.039968  0.003382
0.000000  0.000000  0.000000
0.040000  0.039968  0.003382
0.080000  0.079744  0.013467
0.120000  0.119137  0.030070
0.160000  0.157956  0.052885
0.200000  0.196013  0.081487
0.240000  0.233121  0.115339
0.280000  0.269096  0.153794
0.320000  0.303755  0.196108
0.360000  0.336923  0.241441
0.400000  0.368424  0.288879
0.440000  0.398091  0.337437
0.480000  0.425758  0.386080
0.520000  0.451266  0.433741
0.560000  0.474463  0.479337
0.600000  0.495201  0.521793
0.640000  0.513341  0.560064
0.680000  0.528749  0.593159
0.720000  0.541300  0.620172
0.760000  0.550875  0.640299
0.800000  0.557365  0.652871
0.840000  0.560669  0.657378
0.880000  0.560693  0.653489
0.920000  0.557355  0.641076
0.960000  0.550579  0.620232
1.000000  0.540302  0.591281
1.040000  0.526469  0.554788
1.080000  0.509035  0.511560
1.120000  0.487964  0.462640
1.160000  0.463234  0.409297
1.200000  0.434829  0.353006
1.240000  0.402747  0.295415
1.280000  0.366995  0.238316
1.320000  0.327592  0.183596
1.360000  0.284565  0.133192
1.400000  0.237954  0.089030
1.440000  0.187810  0.052970
1.480000  0.134194  0.026741
1.520000  0.077177  0.011879
1.560000  0.016842  0.009667
1.600000  0.046719  0.021078
1.640000  0.113403  0.046726
1.680000  0.183098  0.086828
1.720000  0.255679  0.141179
1.760000  0.331015  0.209140
1.800000  0.408964  0.289648
1.840000  0.489374  0.381242
1.880000  0.572084  0.482109
1.920000  0.656927  0.590156
1.960000  0.743725  0.703096
2.000000  0.832294  0.818553
2.040000  0.922439  0.934183
2.080000  1.013963  1.047804
2.120000  1.106657  1.157527
2.160000  1.200310  1.261879
2.200000  1.294702  1.359920
2.240000  1.389610  1.451322
2.280000  1.484804  1.536420
2.320000  1.580050  1.616214
2.360000  1.675110  1.692304
2.400000  1.769745  1.766770
2.440000  1.863709  1.841965
2.480000  1.956757  1.920251
2.520000  2.048639  2.003659
2.560000  2.139107  2.093512
2.600000  2.227911  2.190039
2.640000  2.314799  2.292034
2.680000  2.399523  2.396639
2.720000  2.481832  2.499367
2.760000  2.561481  2.594506
2.800000  2.638223  2.676115
2.840000  2.711816  2.739862
2.880000  2.782020  2.786031
2.920000  2.848602  2.824122
2.960000  2.911330  2.879552
3.000000  2.969977  3.003102
