n: np: a: b: równo(0)/opty(1)
7.000000 150.000000 -6.000000 6.000000 1 /nxp:        fxp:       Ln:
-6.000000  5.761022  6.831164
-5.920000  5.533838  5.824697
-5.840000  5.275800  4.951207
-5.760000  4.989497  4.199699
-5.680000  4.677667  3.559742
-5.600000  4.343169  3.021459
-5.520000  3.988961  2.575505
-5.440000  3.618076  2.213055
-5.360000  3.233596  1.925781
-5.280000  2.838630  1.705844
-5.200000  2.436287  1.545870
-5.120000  2.029656  1.438939
-5.040000  1.621781  1.378570
-4.960000  1.215639  1.358702
-4.880000  0.814117  1.373681
-4.800000  0.419995  1.418246
-4.720000  0.035924  1.487512
-4.640000  0.335592  1.576960
-4.560000  0.692207  1.682416
-4.480000  1.031757  1.800045
-4.400000  1.352265  1.926331
-4.320000  1.651955  2.058067
-4.240000  1.929263  2.192340
-4.160000  2.182845  2.326520
-4.080000  2.411580  2.458246
-4.000000  2.614574  2.585414
-3.920000  2.791168  2.706164
-3.840000  2.940930  2.818870
-3.760000  3.063659  2.922123
-3.680000  3.159377  3.014729
-3.600000  3.228330  3.095688
-3.520000  3.270975  3.164188
-3.440000  3.287972  3.219594
-3.360000  3.280179  3.261436
-3.280000  3.248633  3.289400
-3.200000  3.194543  3.303315
-3.120000  3.119273  3.303149
-3.040000  3.024325  3.288994
-2.960000  2.911330  3.261058
-2.880000  2.782020  3.219657
-2.800000  2.638223  3.165204
-2.720000  2.481832  3.098205
-2.640000  2.314799  3.019244
-2.560000  2.139107  2.928979
-2.480000  1.956757  2.828135
-2.400000  1.769745  2.717492
-2.320000  1.580050  2.597881
-2.240000  1.389610  2.470176
-2.160000  1.200310  2.335287
-2.080000  1.013963  2.194153
-2.000000  0.832294  2.047733
-1.920000  0.656927  1.897006
-1.840000  0.489374  1.742959
-1.760000  0.331015  1.586583
-1.680000  0.183098  1.428869
-1.600000  0.046719  1.270800
-1.520000  0.077177  1.113349
-1.440000  0.187810  0.957472
-1.360000  0.284565  0.804101
-1.280000  0.366995  0.654148
-1.200000  0.434829  0.508489
-1.120000  0.487964  0.367971
-1.040000  0.526469  0.233401
-0.960000  0.550579  0.105547
-0.880000  0.560693  -0.014868
-0.800000  0.557365  -0.127167
-0.720000  0.541300  -0.230725
-0.640000  0.513341  -0.324966
-0.560000  0.474463  -0.409370
-0.480000  0.425758  -0.483475
-0.400000  0.368424  -0.546874
-0.320000  0.303755  -0.599222
-0.240000  0.233121  -0.640234
-0.160000  0.157956  -0.669688
-0.080000  0.079744  -0.687424
0.000000  0.000000  -0.693347
0.080000  0.079744  -0.687424
0.160000  0.157956  -0.669688
0.240000  0.233121  -0.640234
0.320000  0.303755  -0.599222
0.400000  0.368424  -0.546874
0.480000  0.425758  -0.483475
0.560000  0.474463  -0.409370
0.640000  0.513341  -0.324966
0.720000  0.541300  -0.230725
0.800000  0.557365  -0.127167
0.880000  0.560693  -0.014868
0.960000  0.550579  0.105547
1.040000  0.526469  0.233401
1.120000  0.487964  0.367971
1.200000  0.434829  0.508489
1.280000  0.366995  0.654148
1.360000  0.284565  0.804101
1.440000  0.187810  0.957472
1.520000  0.077177  1.113349
1.600000  0.046719  1.270800
1.680000  0.183098  1.428869
1.760000  0.331015  1.586583
1.840000  0.489374  1.742959
1.920000  0.656927  1.897006
2.000000  0.832294  2.047733
2.080000  1.013963  2.194153
2.160000  1.200310  2.335287
2.240000  1.389610  2.470176
2.320000  1.580050  2.597881
2.400000  1.769745  2.717492
2.480000  1.956757  2.828135
2.560000  2.139107  2.928979
2.640000  2.314799  3.019244
2.720000  2.481832  3.098205
2.800000  2.638223  3.165204
2.880000  2.782020  3.219657
2.960000  2.911330  3.261058
3.040000  3.024325  3.288994
3.120000  3.119273  3.303149
3.200000  3.194543  3.303315
3.280000  3.248633  3.289400
3.360000  3.280179  3.261436
3.440000  3.287972  3.219594
3.520000  3.270975  3.164188
3.600000  3.228330  3.095688
3.680000  3.159377  3.014729
3.760000  3.063659  2.922123
3.840000  2.940930  2.818870
3.920000  2.791168  2.706164
4.000000  2.614574  2.585414
4.080000  2.411580  2.458246
4.160000  2.182845  2.326520
4.240000  1.929263  2.192340
4.320000  1.651955  2.058067
4.400000  1.352265  1.926331
4.480000  1.031757  1.800045
4.560000  0.692207  1.682416
4.640000  0.335592  1.576960
4.720000  0.035924  1.487512
4.800000  0.419995  1.418246
4.880000  0.814117  1.373681
4.960000  1.215639  1.358702
5.040000  1.621781  1.378570
5.120000  2.029656  1.438939
5.200000  2.436287  1.545870
5.280000  2.838630  1.705844
5.360000  3.233596  1.925781
5.440000  3.618076  2.213055
5.520000  3.988961  2.575505
5.600000  4.343169  3.021459
5.680000  4.677667  3.559742
5.760000  4.989497  4.199699
5.840000  5.275800  4.951207
5.920000  5.533838  5.824697
6.000000  5.761022  6.831164
