n: np: a: b: równo(0)/opty(1)
8.000000 150.000000 -3.000000 3.000000 1 /nxp:        fxp:       Ln:
-3.000000  2.969977  2.796568
-2.960000  2.911330  2.893764
-2.920000  2.848602  2.937095
-2.880000  2.782020  2.935436
-2.840000  2.711816  2.896733
-2.800000  2.638223  2.828065
-2.760000  2.561481  2.735714
-2.720000  2.481832  2.625222
-2.680000  2.399523  2.501448
-2.640000  2.314799  2.368625
-2.600000  2.227911  2.230409
-2.560000  2.139107  2.089931
-2.520000  2.048639  1.949840
-2.480000  1.956757  1.812348
-2.440000  1.863709  1.679272
-2.400000  1.769745  1.552072
-2.360000  1.675110  1.431885
-2.320000  1.580050  1.319565
-2.280000  1.484804  1.215707
-2.240000  1.389610  1.120684
-2.200000  1.294702  1.034671
-2.160000  1.200310  0.957671
-2.120000  1.106657  0.889540
-2.080000  1.013963  0.830010
-2.040000  0.922439  0.778707
-2.000000  0.832294  0.735172
-1.960000  0.743725  0.698878
-1.920000  0.656927  0.669244
-1.880000  0.572084  0.645652
-1.840000  0.489374  0.627460
-1.800000  0.408964  0.614009
-1.760000  0.331015  0.604642
-1.720000  0.255679  0.598704
-1.680000  0.183098  0.595557
-1.640000  0.113403  0.594585
-1.600000  0.046719  0.595197
-1.560000  0.016842  0.596840
-1.520000  0.077177  0.598996
-1.480000  0.134194  0.601186
-1.440000  0.187810  0.602980
-1.400000  0.237954  0.603989
-1.360000  0.284565  0.603876
-1.320000  0.327592  0.602348
-1.280000  0.366995  0.599164
-1.240000  0.402747  0.594128
-1.200000  0.434829  0.587095
-1.160000  0.463234  0.577962
-1.120000  0.487964  0.566675
-1.080000  0.509035  0.553220
-1.040000  0.526469  0.537624
-1.000000  0.540302  0.519951
-0.960000  0.550579  0.500303
-0.920000  0.557355  0.478811
-0.880000  0.560693  0.455637
-0.840000  0.560669  0.430968
-0.800000  0.557365  0.405016
-0.760000  0.550875  0.378008
-0.720000  0.541300  0.350191
-0.680000  0.528749  0.321822
-0.640000  0.513341  0.293168
-0.600000  0.495201  0.264500
-0.560000  0.474463  0.236094
-0.520000  0.451266  0.208223
-0.480000  0.425758  0.181155
-0.440000  0.398091  0.155155
-0.400000  0.368424  0.130473
-0.360000  0.336923  0.107352
-0.320000  0.303755  0.086014
-0.280000  0.269096  0.066669
-0.240000  0.233121  0.049505
-0.200000  0.196013  0.034688
-0.160000  0.157956  0.022364
-0.120000  0.119137  0.012651
-0.080000  0.079744  0.005646
-0.040000  0.039968  0.001415
0.000000  0.000000  0.000000
0.040000  0.039968  0.001415
0.080000  0.079744  0.005646
0.120000  0.119137  0.012651
0.160000  0.157956  0.022364
0.200000  0.196013  0.034688
0.240000  0.233121  0.049505
0.280000  0.269096  0.066669
0.320000  0.303755  0.086014
0.360000  0.336923  0.107352
0.400000  0.368424  0.130473
0.440000  0.398091  0.155155
0.480000  0.425758  0.181155
0.520000  0.451266  0.208223
0.560000  0.474463  0.236094
0.600000  0.495201  0.264500
0.640000  0.513341  0.293168
0.680000  0.528749  0.321822
0.720000  0.541300  0.350191
0.760000  0.550875  0.378008
0.800000  0.557365  0.405016
0.840000  0.560669  0.430968
0.880000  0.560693  0.455637
0.920000  0.557355  0.478811
0.960000  0.550579  0.500303
1.000000  0.540302  0.519951
1.040000  0.526469  0.537624
1.080000  0.509035  0.553220
1.120000  0.487964  0.566675
1.160000  0.463234  0.577962
1.200000  0.434829  0.587095
1.240000  0.402747  0.594128
1.280000  0.366995  0.599164
1.320000  0.327592  0.602348
1.360000  0.284565  0.603876
1.400000  0.237954  0.603989
1.440000  0.187810  0.602980
1.480000  0.134194  0.601186
1.520000  0.077177  0.598996
1.560000  0.016842  0.596840
1.600000  0.046719  0.595197
1.640000  0.113403  0.594585
1.680000  0.183098  0.595557
1.720000  0.255679  0.598704
1.760000  0.331015  0.604642
1.800000  0.408964  0.614009
1.840000  0.489374  0.627460
1.880000  0.572084  0.645652
1.920000  0.656927  0.669244
1.960000  0.743725  0.698878
2.000000  0.832294  0.735172
2.040000  0.922439  0.778707
2.080000  1.013963  0.830010
2.120000  1.106657  0.889540
2.160000  1.200310  0.957671
2.200000  1.294702  1.034671
2.240000  1.389610  1.120684
2.280000  1.484804  1.215707
2.320000  1.580050  1.319565
2.360000  1.675110  1.431885
2.400000  1.769745  1.552072
2.440000  1.863709  1.679272
2.480000  1.956757  1.812348
2.520000  2.048639  1.949840
2.560000  2.139107  2.089931
2.600000  2.227911  2.230409
2.640000  2.314799  2.368625
2.680000  2.399523  2.501448
2.720000  2.481832  2.625222
2.760000  2.561481  2.735714
2.800000  2.638223  2.828065
2.840000  2.711816  2.896733
2.880000  2.782020  2.935436
2.920000  2.848602  2.937095
2.960000  2.911330  2.893764
3.000000  2.969977  2.796568
