n: np: a: b: równo(0)/opty(1)
16.000000 150.000000 -6.000000 6.000000 1 /nxp:        fxp:       Ln:
-6.000000  5.761022  5.948578
-5.920000  5.533838  5.346064
-5.840000  5.275800  5.124502
-5.760000  4.989497  5.015486
-5.680000  4.677667  4.868746
-5.600000  4.343169  4.615391
-5.520000  3.988961  4.239959
-5.440000  3.618076  3.759577
-5.360000  3.233596  3.208790
-5.280000  2.838630  2.628888
-5.200000  2.436287  2.060700
-5.120000  2.029656  1.540076
-5.040000  1.621781  1.095367
-4.960000  1.215639  0.746371
-4.880000  0.814117  0.504310
-4.800000  0.419995  0.372502
-4.720000  0.035924  0.347454
-4.640000  0.335592  0.420186
-4.560000  0.692207  0.577626
-4.480000  1.031757  0.803970
-4.400000  1.352265  1.081934
-4.320000  1.651955  1.393860
-4.240000  1.929263  1.722626
-4.160000  2.182845  2.052385
-4.080000  2.411580  2.369098
-4.000000  2.614574  2.660909
-3.920000  2.791168  2.918344
-3.840000  2.940930  3.134382
-3.760000  3.063659  3.304407
-3.680000  3.159377  3.426068
-3.600000  3.228330  3.499059
-3.520000  3.270975  3.524861
-3.440000  3.287972  3.506446
-3.360000  3.280179  3.447962
-3.280000  3.248633  3.354430
-3.200000  3.194543  3.231435
-3.120000  3.119273  3.084857
-3.040000  3.024325  2.920614
-2.960000  2.911330  2.744448
-2.880000  2.782020  2.561742
-2.800000  2.638223  2.377375
-2.720000  2.481832  2.195619
-2.640000  2.314799  2.020065
-2.560000  2.139107  1.853585
-2.480000  1.956757  1.698328
-2.400000  1.769745  1.555739
-2.320000  1.580050  1.426599
-2.240000  1.389610  1.311090
-2.160000  1.200310  1.208864
-2.080000  1.013963  1.119135
-2.000000  0.832294  1.040764
-1.920000  0.656927  0.972354
-1.840000  0.489374  0.912341
-1.760000  0.331015  0.859082
-1.680000  0.183098  0.810935
-1.600000  0.046719  0.766334
-1.520000  0.077177  0.723846
-1.440000  0.187810  0.682226
-1.360000  0.284565  0.640454
-1.280000  0.366995  0.597761
-1.200000  0.434829  0.553645
-1.120000  0.487964  0.507871
-1.040000  0.526469  0.460467
-0.960000  0.550579  0.411704
-0.880000  0.560693  0.362069
-0.800000  0.557365  0.312234
-0.720000  0.541300  0.263019
-0.640000  0.513341  0.215345
-0.560000  0.474463  0.170194
-0.480000  0.425758  0.128563
-0.400000  0.368424  0.091419
-0.320000  0.303755  0.059659
-0.240000  0.233121  0.034072
-0.160000  0.157956  0.015309
-0.080000  0.079744  0.003852
0.000000  0.000000  0.000000
0.080000  0.079744  0.003852
0.160000  0.157956  0.015309
0.240000  0.233121  0.034072
0.320000  0.303755  0.059659
0.400000  0.368424  0.091419
0.480000  0.425758  0.128563
0.560000  0.474463  0.170194
0.640000  0.513341  0.215345
0.720000  0.541300  0.263019
0.800000  0.557365  0.312234
0.880000  0.560693  0.362069
0.960000  0.550579  0.411704
1.040000  0.526469  0.460467
1.120000  0.487964  0.507871
1.200000  0.434829  0.553645
1.280000  0.366995  0.597761
1.360000  0.284565  0.640454
1.440000  0.187810  0.682226
1.520000  0.077177  0.723846
1.600000  0.046719  0.766334
1.680000  0.183098  0.810935
1.760000  0.331015  0.859082
1.840000  0.489374  0.912341
1.920000  0.656927  0.972354
2.000000  0.832294  1.040764
2.080000  1.013963  1.119135
2.160000  1.200310  1.208864
2.240000  1.389610  1.311090
2.320000  1.580050  1.426599
2.400000  1.769745  1.555739
2.480000  1.956757  1.698328
2.560000  2.139107  1.853585
2.640000  2.314799  2.020065
2.720000  2.481832  2.195619
2.800000  2.638223  2.377375
2.880000  2.782020  2.561742
2.960000  2.911330  2.744448
3.040000  3.024325  2.920614
3.120000  3.119273  3.084857
3.200000  3.194543  3.231435
3.280000  3.248633  3.354430
3.360000  3.280179  3.447962
3.440000  3.287972  3.506446
3.520000  3.270975  3.524861
3.600000  3.228330  3.499059
3.680000  3.159377  3.426068
3.760000  3.063659  3.304407
3.840000  2.940930  3.134382
3.920000  2.791168  2.918344
4.000000  2.614574  2.660909
4.080000  2.411580  2.369098
4.160000  2.182845  2.052385
4.240000  1.929263  1.722626
4.320000  1.651955  1.393860
4.400000  1.352265  1.081934
4.480000  1.031757  0.803970
4.560000  0.692207  0.577626
4.640000  0.335592  0.420186
4.720000  0.035924  0.347454
4.800000  0.419995  0.372502
4.880000  0.814117  0.504310
4.960000  1.215639  0.746371
5.040000  1.621781  1.095367
5.120000  2.029656  1.540076
5.200000  2.436287  2.060700
5.280000  2.838630  2.628888
5.360000  3.233596  3.208790
5.440000  3.618076  3.759577
5.520000  3.988961  4.239959
5.600000  4.343169  4.615391
5.680000  4.677667  4.868746
5.760000  4.989497  5.015486
5.840000  5.275800  5.124502
5.920000  5.533838  5.346064
6.000000  5.761022  5.948578
