n: np: a: b: równo(0)/opty(1)
16.000000 150.000000 -6.000000 6.000000 0 /nxp:        fxp:       Ln:
-6.000000  5.761022  5.761022
-5.920000  5.533838  157.478598
-5.840000  5.275800  213.840273
-5.760000  4.989497  214.184353
-5.680000  4.677667  185.122181
-5.600000  4.343169  143.950760
-5.520000  3.988961  101.289757
-5.440000  3.618076  63.093641
-5.360000  3.233596  32.164579
-5.280000  2.838630  9.270249
-5.200000  2.436287  -6.047717
-5.120000  2.029656  -14.904521
-5.040000  1.621781  -18.685397
-4.960000  1.215639  -18.795470
-4.880000  0.814117  -16.509931
-4.800000  0.419995  -12.895868
-4.720000  0.035924  -8.783560
-4.640000  0.335592  -4.770253
-4.560000  0.692207  -1.243694
-4.480000  1.031757  1.583865
-4.400000  1.352265  3.637784
-4.320000  1.651955  4.943725
-4.240000  1.929263  5.593748
-4.160000  2.182845  5.717409
-4.080000  2.411580  5.458544
-4.000000  2.614574  4.957800
-3.920000  2.791168  4.340526
-3.840000  2.940930  3.709397
-3.760000  3.063659  3.140968
-3.680000  3.159377  2.685344
-3.600000  3.228330  2.368135
-3.520000  3.270975  2.193963
-3.440000  3.287972  2.150863
-3.360000  3.280179  2.215017
-3.280000  3.248633  2.355409
-3.200000  3.194543  2.538063
-3.120000  3.119273  2.729649
-3.040000  3.024325  2.900329
-2.960000  2.911330  3.025795
-2.880000  2.782020  3.088511
-2.800000  2.638223  3.078219
-2.720000  2.481832  2.991810
-2.640000  2.314799  2.832677
-2.560000  2.139107  2.609680
-2.480000  1.956757  2.335867
-2.400000  1.769745  2.027050
-2.320000  1.580050  1.700378
-2.240000  1.389610  1.372990
-2.160000  1.200310  1.060825
-2.080000  1.013963  0.777642
-2.000000  0.832294  0.534306
-1.920000  0.656927  0.338325
-1.840000  0.489374  0.193663
-1.760000  0.331015  0.100801
-1.680000  0.183098  0.057011
-1.600000  0.046719  0.056817
-1.520000  0.077177  0.092589
-1.440000  0.187810  0.155214
-1.360000  0.284565  0.234818
-1.280000  0.366995  0.321468
-1.200000  0.434829  0.405825
-1.120000  0.487964  0.479711
-1.040000  0.526469  0.536563
-0.960000  0.550579  0.571747
-0.880000  0.560693  0.582733
-0.800000  0.557365  0.569122
-0.720000  0.541300  0.532534
-0.640000  0.513341  0.476372
-0.560000  0.474463  0.405479
-0.480000  0.425758  0.325724
-0.400000  0.368424  0.243527
-0.320000  0.303755  0.165376
-0.240000  0.233121  0.097348
-0.160000  0.157956  0.044677
-0.080000  0.079744  0.011385
0.000000  0.000000  0.000000
0.080000  0.079744  0.011385
0.160000  0.157956  0.044677
0.240000  0.233121  0.097348
0.320000  0.303755  0.165376
0.400000  0.368424  0.243527
0.480000  0.425758  0.325724
0.560000  0.474463  0.405479
0.640000  0.513341  0.476372
0.720000  0.541300  0.532534
0.800000  0.557365  0.569122
0.880000  0.560693  0.582733
0.960000  0.550579  0.571747
1.040000  0.526469  0.536563
1.120000  0.487964  0.479711
1.200000  0.434829  0.405825
1.280000  0.366995  0.321468
1.360000  0.284565  0.234818
1.440000  0.187810  0.155214
1.520000  0.077177  0.092589
1.600000  0.046719  0.056817
1.680000  0.183098  0.057011
1.760000  0.331015  0.100801
1.840000  0.489374  0.193663
1.920000  0.656927  0.338325
2.000000  0.832294  0.534306
2.080000  1.013963  0.777642
2.160000  1.200310  1.060825
2.240000  1.389610  1.372990
2.320000  1.580050  1.700378
2.400000  1.769745  2.027050
2.480000  1.956757  2.335867
2.560000  2.139107  2.609680
2.640000  2.314799  2.832677
2.720000  2.481832  2.991810
2.800000  2.638223  3.078219
2.880000  2.782020  3.088511
2.960000  2.911330  3.025795
3.040000  3.024325  2.900329
3.120000  3.119273  2.729649
3.200000  3.194543  2.538063
3.280000  3.248633  2.355409
3.360000  3.280179  2.215017
3.440000  3.287972  2.150863
3.520000  3.270975  2.193963
3.600000  3.228330  2.368135
3.680000  3.159377  2.685344
3.760000  3.063659  3.140968
3.840000  2.940930  3.709397
3.920000  2.791168  4.340526
4.000000  2.614574  4.957800
4.080000  2.411580  5.458544
4.160000  2.182845  5.717409
4.240000  1.929263  5.593748
4.320000  1.651955  4.943725
4.400000  1.352265  3.637784
4.480000  1.031757  1.583865
4.560000  0.692207  -1.243694
4.640000  0.335592  -4.770253
4.720000  0.035924  -8.783560
4.800000  0.419995  -12.895868
4.880000  0.814117  -16.509931
4.960000  1.215639  -18.795470
5.040000  1.621781  -18.685397
5.120000  2.029656  -14.904521
5.200000  2.436287  -6.047717
5.280000  2.838630  9.270249
5.360000  3.233596  32.164579
5.440000  3.618076  63.093641
5.520000  3.988961  101.289757
5.600000  4.343169  143.950760
5.680000  4.677667  185.122181
5.760000  4.989497  214.184353
5.840000  5.275800  213.840273
5.920000  5.533838  157.478598
6.000000  5.761022  5.761022
