n: np: a: b: równo(0)/opty(1)
16.000000 150.000000 -3.000000 3.000000 0 /nxp:        fxp:       Ln:
-3.000000  2.969977  2.969977
-2.960000  2.911330  36.984407
-2.920000  2.848602  49.653494
-2.880000  2.782020  49.764227
-2.840000  2.711816  43.268897
-2.800000  2.638223  34.042379
-2.760000  2.561481  24.468013
-2.720000  2.481832  15.885254
-2.680000  2.399523  8.926761
-2.640000  2.314799  3.767895
-2.600000  2.227911  0.307532
-2.560000  2.139107  -1.704324
-2.520000  2.048639  -2.579549
-2.480000  1.956757  -2.635422
-2.440000  1.863709  -2.160590
-2.400000  1.769745  -1.397119
-2.360000  1.675110  -0.533693
-2.320000  1.580050  0.293820
-2.280000  1.484804  0.997288
-2.240000  1.389610  1.528803
-2.200000  1.294702  1.872212
-2.160000  1.200310  2.034709
-2.120000  1.106657  2.039143
-2.080000  1.013963  1.917402
-2.040000  0.922439  1.705041
-2.000000  0.832294  1.437193
-1.960000  0.743725  1.145676
-1.920000  0.656927  0.857171
-1.880000  0.572084  0.592293
-1.840000  0.489374  0.365384
-1.800000  0.408964  0.184846
-1.760000  0.331015  0.053846
-1.720000  0.255679  -0.028751
-1.680000  0.183098  -0.067347
-1.640000  0.113403  -0.068565
-1.600000  0.046719  -0.040277
-1.560000  0.016842  0.009243
-1.520000  0.077177  0.072022
-1.480000  0.134194  0.140909
-1.440000  0.187810  0.209933
-1.400000  0.237954  0.274505
-1.360000  0.284565  0.331467
-1.320000  0.327592  0.379034
-1.280000  0.366995  0.416641
-1.240000  0.402747  0.444727
-1.200000  0.434829  0.464482
-1.160000  0.463234  0.477580
-1.120000  0.487964  0.485922
-1.080000  0.509035  0.491403
-1.040000  0.526469  0.495715
-1.000000  0.540302  0.500201
-0.960000  0.550579  0.505756
-0.920000  0.557355  0.512775
-0.880000  0.560693  0.521159
-0.840000  0.560669  0.530353
-0.800000  0.557365  0.539429
-0.760000  0.550875  0.547189
-0.720000  0.541300  0.552284
-0.680000  0.528749  0.553345
-0.640000  0.513341  0.549109
-0.600000  0.495201  0.538529
-0.560000  0.474463  0.520879
-0.520000  0.451266  0.495817
-0.480000  0.425758  0.463440
-0.440000  0.398091  0.424295
-0.400000  0.368424  0.379363
-0.360000  0.336923  0.330024
-0.320000  0.303755  0.277986
-0.280000  0.269096  0.225198
-0.240000  0.233121  0.173750
-0.200000  0.196013  0.125758
-0.160000  0.157956  0.083255
-0.120000  0.119137  0.048079
-0.080000  0.079744  0.021773
-0.040000  0.039968  0.005505
0.000000  0.000000  -0.000000
0.040000  0.039968  0.005505
0.080000  0.079744  0.021773
0.120000  0.119137  0.048079
0.160000  0.157956  0.083255
0.200000  0.196013  0.125758
0.240000  0.233121  0.173750
0.280000  0.269096  0.225198
0.320000  0.303755  0.277986
0.360000  0.336923  0.330024
0.400000  0.368424  0.379363
0.440000  0.398091  0.424295
0.480000  0.425758  0.463440
0.520000  0.451266  0.495817
0.560000  0.474463  0.520879
0.600000  0.495201  0.538529
0.640000  0.513341  0.549109
0.680000  0.528749  0.553345
0.720000  0.541300  0.552284
0.760000  0.550875  0.547189
0.800000  0.557365  0.539429
0.840000  0.560669  0.530353
0.880000  0.560693  0.521159
0.920000  0.557355  0.512775
0.960000  0.550579  0.505756
1.000000  0.540302  0.500201
1.040000  0.526469  0.495715
1.080000  0.509035  0.491403
1.120000  0.487964  0.485922
1.160000  0.463234  0.477580
1.200000  0.434829  0.464482
1.240000  0.402747  0.444727
1.280000  0.366995  0.416641
1.320000  0.327592  0.379034
1.360000  0.284565  0.331467
1.400000  0.237954  0.274505
1.440000  0.187810  0.209933
1.480000  0.134194  0.140909
1.520000  0.077177  0.072022
1.560000  0.016842  0.009243
1.600000  0.046719  -0.040277
1.640000  0.113403  -0.068565
1.680000  0.183098  -0.067347
1.720000  0.255679  -0.028751
1.760000  0.331015  0.053846
1.800000  0.408964  0.184846
1.840000  0.489374  0.365384
1.880000  0.572084  0.592293
1.920000  0.656927  0.857171
1.960000  0.743725  1.145676
2.000000  0.832294  1.437193
2.040000  0.922439  1.705041
2.080000  1.013963  1.917402
2.120000  1.106657  2.039143
2.160000  1.200310  2.034709
2.200000  1.294702  1.872212
2.240000  1.389610  1.528803
2.280000  1.484804  0.997288
2.320000  1.580050  0.293820
2.360000  1.675110  -0.533693
2.400000  1.769745  -1.397119
2.440000  1.863709  -2.160590
2.480000  1.956757  -2.635422
2.520000  2.048639  -2.579549
2.560000  2.139107  -1.704324
2.600000  2.227911  0.307532
2.640000  2.314799  3.767895
2.680000  2.399523  8.926761
2.720000  2.481832  15.885254
2.760000  2.561481  24.468013
2.800000  2.638223  34.042379
2.840000  2.711816  43.268897
2.880000  2.782020  49.764227
2.920000  2.848602  49.653494
2.960000  2.911330  36.984407
3.000000  2.969977  2.969977
