n: np: a: b: równo(0)/opty(1)
15.000000 150.000000 -3.000000 3.000000 0 /nxp:        fxp:       Ln:
-3.000000  2.969977  2.969977
-2.960000  2.911330  3.375709
-2.920000  2.848602  3.514456
-2.880000  2.782020  3.481702
-2.840000  2.711816  3.346838
-2.800000  2.638223  3.158836
-2.760000  2.561481  2.950922
-2.720000  2.481832  2.744397
-2.680000  2.399523  2.551721
-2.640000  2.314799  2.378994
-2.600000  2.227911  2.227911
-2.560000  2.139107  2.097283
-2.520000  2.048639  1.984203
-2.480000  1.956757  1.884913
-2.440000  1.863709  1.795434
-2.400000  1.769745  1.711998
-2.360000  1.675110  1.631329
-2.320000  1.580050  1.550805
-2.280000  1.484804  1.468528
-2.240000  1.389610  1.383325
-2.200000  1.294702  1.294702
-2.160000  1.200310  1.202768
-2.120000  1.106657  1.108131
-2.080000  1.013963  1.011796
-2.040000  0.922439  0.915050
-2.000000  0.832294  0.819357
-1.960000  0.743725  0.726262
-1.920000  0.656927  0.637300
-1.880000  0.572084  0.553923
-1.840000  0.489374  0.477439
-1.800000  0.408964  0.408964
-1.760000  0.331015  0.349386
-1.720000  0.255679  0.299347
-1.680000  0.183098  0.259230
-1.640000  0.113403  0.229162
-1.600000  0.046719  0.209018
-1.560000  0.016842  0.198444
-1.520000  0.077177  0.196873
-1.480000  0.134194  0.203557
-1.440000  0.187810  0.217592
-1.400000  0.237954  0.237954
-1.360000  0.284565  0.263531
-1.320000  0.327592  0.293155
-1.280000  0.366995  0.325633
-1.240000  0.402747  0.359778
-1.200000  0.434829  0.394437
-1.160000  0.463234  0.428516
-1.120000  0.487964  0.460999
-1.080000  0.509035  0.490972
-1.040000  0.526469  0.517631
-1.000000  0.540302  0.540302
-0.960000  0.550579  0.558441
-0.920000  0.557355  0.571643
-0.880000  0.560693  0.579643
-0.840000  0.560669  0.582314
-0.800000  0.557365  0.579663
-0.760000  0.550875  0.571824
-0.720000  0.541300  0.559051
-0.680000  0.528749  0.541704
-0.640000  0.513341  0.520242
-0.600000  0.495201  0.495201
-0.560000  0.474463  0.467191
-0.520000  0.451266  0.436872
-0.480000  0.425758  0.404941
-0.440000  0.398091  0.372121
-0.400000  0.368424  0.339139
-0.360000  0.336923  0.306716
-0.320000  0.303755  0.275553
-0.280000  0.269096  0.246312
-0.240000  0.233121  0.219613
-0.200000  0.196013  0.196013
-0.160000  0.157956  0.176004
-0.120000  0.119137  0.159999
-0.080000  0.079744  0.148326
-0.040000  0.039968  0.141226
0.000000  0.000000  0.138843
0.040000  0.039968  0.141226
0.080000  0.079744  0.148326
0.120000  0.119137  0.159999
0.160000  0.157956  0.176004
0.200000  0.196013  0.196013
0.240000  0.233121  0.219613
0.280000  0.269096  0.246312
0.320000  0.303755  0.275553
0.360000  0.336923  0.306716
0.400000  0.368424  0.339139
0.440000  0.398091  0.372121
0.480000  0.425758  0.404941
0.520000  0.451266  0.436872
0.560000  0.474463  0.467191
0.600000  0.495201  0.495201
0.640000  0.513341  0.520242
0.680000  0.528749  0.541704
0.720000  0.541300  0.559051
0.760000  0.550875  0.571824
0.800000  0.557365  0.579663
0.840000  0.560669  0.582314
0.880000  0.560693  0.579643
0.920000  0.557355  0.571643
0.960000  0.550579  0.558441
1.000000  0.540302  0.540302
1.040000  0.526469  0.517631
1.080000  0.509035  0.490972
1.120000  0.487964  0.460999
1.160000  0.463234  0.428516
1.200000  0.434829  0.394437
1.240000  0.402747  0.359778
1.280000  0.366995  0.325633
1.320000  0.327592  0.293155
1.360000  0.284565  0.263531
1.400000  0.237954  0.237954
1.440000  0.187810  0.217592
1.480000  0.134194  0.203557
1.520000  0.077177  0.196873
1.560000  0.016842  0.198444
1.600000  0.046719  0.209018
1.640000  0.113403  0.229162
1.680000  0.183098  0.259230
1.720000  0.255679  0.299347
1.760000  0.331015  0.349386
1.800000  0.408964  0.408964
1.840000  0.489374  0.477439
1.880000  0.572084  0.553923
1.920000  0.656927  0.637300
1.960000  0.743725  0.726262
2.000000  0.832294  0.819357
2.040000  0.922439  0.915050
2.080000  1.013963  1.011796
2.120000  1.106657  1.108131
2.160000  1.200310  1.202768
2.200000  1.294702  1.294702
2.240000  1.389610  1.383325
2.280000  1.484804  1.468528
2.320000  1.580050  1.550805
2.360000  1.675110  1.631329
2.400000  1.769745  1.711998
2.440000  1.863709  1.795434
2.480000  1.956757  1.884913
2.520000  2.048639  1.984203
2.560000  2.139107  2.097283
2.600000  2.227911  2.227911
2.640000  2.314799  2.378994
2.680000  2.399523  2.551721
2.720000  2.481832  2.744397
2.760000  2.561481  2.950922
2.800000  2.638223  3.158836
2.840000  2.711816  3.346838
2.880000  2.782020  3.481702
2.920000  2.848602  3.514456
2.960000  2.911330  3.375709
3.000000  2.969977  2.969977
