n: np: a: b: równo(0)/opty(1)
15.000000 150.000000 -6.000000 6.000000 1 /nxp:        fxp:       Ln:
-6.000000  5.761022  5.942312
-5.920000  5.533838  5.368984
-5.840000  5.275800  5.106050
-5.760000  4.989497  4.953419
-5.680000  4.677667  4.791396
-5.600000  4.343169  4.558235
-5.520000  3.988961  4.232416
-5.440000  3.618076  3.818874
-5.360000  3.233596  3.338489
-5.280000  2.838630  2.820264
-5.200000  2.436287  2.295668
-5.120000  2.029656  1.794725
-5.040000  1.621781  1.343491
-4.960000  1.215639  0.962585
-4.880000  0.814117  0.666546
-4.800000  0.419995  0.463784
-4.720000  0.035924  0.356956
-4.640000  0.335592  0.343624
-4.560000  0.692207  0.417087
-4.480000  1.031757  0.567283
-4.400000  1.352265  0.781722
-4.320000  1.651955  1.046365
-4.240000  1.929263  1.346441
-4.160000  2.182845  1.667163
-4.080000  2.411580  1.994337
-4.000000  2.614574  2.314856
-3.920000  2.791168  2.617070
-3.840000  2.940930  2.891057
-3.760000  3.063659  3.128783
-3.680000  3.159377  3.324170
-3.600000  3.228330  3.473088
-3.520000  3.270975  3.573276
-3.440000  3.287972  3.624210
-3.360000  3.280179  3.626928
-3.280000  3.248633  3.583826
-3.200000  3.194543  3.498434
-3.120000  3.119273  3.375189
-3.040000  3.024325  3.219195
-2.960000  2.911330  3.036008
-2.880000  2.782020  2.831416
-2.800000  2.638223  2.611252
-2.720000  2.481832  2.381222
-2.640000  2.314799  2.146754
-2.560000  2.139107  1.912884
-2.480000  1.956757  1.684154
-2.400000  1.769745  1.464543
-2.320000  1.580050  1.257425
-2.240000  1.389610  1.065542
-2.160000  1.200310  0.891003
-2.080000  1.013963  0.735299
-2.000000  0.832294  0.599335
-1.920000  0.656927  0.483470
-1.840000  0.489374  0.387574
-1.760000  0.331015  0.311085
-1.680000  0.183098  0.253074
-1.600000  0.046719  0.212313
-1.520000  0.077177  0.187336
-1.440000  0.187810  0.176508
-1.360000  0.284565  0.178082
-1.280000  0.366995  0.190251
-1.200000  0.434829  0.211205
-1.120000  0.487964  0.239162
-1.040000  0.526469  0.272411
-0.960000  0.550579  0.309339
-0.880000  0.560693  0.348447
-0.800000  0.557365  0.388368
-0.720000  0.541300  0.427877
-0.640000  0.513341  0.465889
-0.560000  0.474463  0.501465
-0.480000  0.425758  0.533800
-0.400000  0.368424  0.562223
-0.320000  0.303755  0.586185
-0.240000  0.233121  0.605254
-0.160000  0.157956  0.619101
-0.080000  0.079744  0.627499
0.000000  0.000000  0.630313
0.080000  0.079744  0.627499
0.160000  0.157956  0.619101
0.240000  0.233121  0.605254
0.320000  0.303755  0.586185
0.400000  0.368424  0.562223
0.480000  0.425758  0.533800
0.560000  0.474463  0.501465
0.640000  0.513341  0.465889
0.720000  0.541300  0.427877
0.800000  0.557365  0.388368
0.880000  0.560693  0.348447
0.960000  0.550579  0.309339
1.040000  0.526469  0.272411
1.120000  0.487964  0.239162
1.200000  0.434829  0.211205
1.280000  0.366995  0.190251
1.360000  0.284565  0.178082
1.440000  0.187810  0.176508
1.520000  0.077177  0.187336
1.600000  0.046719  0.212313
1.680000  0.183098  0.253074
1.760000  0.331015  0.311085
1.840000  0.489374  0.387574
1.920000  0.656927  0.483470
2.000000  0.832294  0.599335
2.080000  1.013963  0.735299
2.160000  1.200310  0.891003
2.240000  1.389610  1.065542
2.320000  1.580050  1.257425
2.400000  1.769745  1.464543
2.480000  1.956757  1.684154
2.560000  2.139107  1.912884
2.640000  2.314799  2.146754
2.720000  2.481832  2.381222
2.800000  2.638223  2.611252
2.880000  2.782020  2.831416
2.960000  2.911330  3.036008
3.040000  3.024325  3.219195
3.120000  3.119273  3.375189
3.200000  3.194543  3.498434
3.280000  3.248633  3.583826
3.360000  3.280179  3.626928
3.440000  3.287972  3.624210
3.520000  3.270975  3.573276
3.600000  3.228330  3.473088
3.680000  3.159377  3.324170
3.760000  3.063659  3.128783
3.840000  2.940930  2.891057
3.920000  2.791168  2.617070
4.000000  2.614574  2.314856
4.080000  2.411580  1.994337
4.160000  2.182845  1.667163
4.240000  1.929263  1.346441
4.320000  1.651955  1.046365
4.400000  1.352265  0.781722
4.480000  1.031757  0.567283
4.560000  0.692207  0.417087
4.640000  0.335592  0.343624
4.720000  0.035924  0.356956
4.800000  0.419995  0.463784
4.880000  0.814117  0.666546
4.960000  1.215639  0.962585
5.040000  1.621781  1.343491
5.120000  2.029656  1.794725
5.200000  2.436287  2.295668
5.280000  2.838630  2.820264
5.360000  3.233596  3.338489
5.440000  3.618076  3.818874
5.520000  3.988961  4.232416
5.600000  4.343169  4.558235
5.680000  4.677667  4.791396
5.760000  4.989497  4.953419
5.840000  5.275800  5.106050
5.920000  5.533838  5.368984
6.000000  5.761022  5.942312
