n: np: a: b: równo(0)/opty(1)
15.000000 150.000000 -3.000000 3.000000 1 /nxp:        fxp:       Ln:
-3.000000  2.969977  2.973881
-2.960000  2.911330  2.907971
-2.920000  2.848602  2.845341
-2.880000  2.782020  2.781370
-2.840000  2.711816  2.713732
-2.800000  2.638223  2.641593
-2.760000  2.561481  2.565009
-2.720000  2.481832  2.484507
-2.680000  2.399523  2.400798
-2.640000  2.314799  2.314597
-2.600000  2.227911  2.226513
-2.560000  2.139107  2.137008
-2.520000  2.048639  2.046391
-2.480000  1.956757  1.954833
-2.440000  1.863709  1.862407
-2.400000  1.769745  1.769129
-2.360000  1.675110  1.675001
-2.320000  1.580050  1.580053
-2.280000  1.484804  1.484377
-2.240000  1.389610  1.388150
-2.200000  1.294702  1.291653
-2.160000  1.200310  1.195282
-2.120000  1.106657  1.099538
-2.080000  1.013963  1.005029
-2.040000  0.922439  0.912448
-2.000000  0.832294  0.822553
-1.960000  0.743725  0.736146
-1.920000  0.656927  0.654045
-1.880000  0.572084  0.577053
-1.840000  0.489374  0.505935
-1.800000  0.408964  0.441388
-1.760000  0.331015  0.384018
-1.720000  0.255679  0.334321
-1.680000  0.183098  0.292661
-1.640000  0.113403  0.259262
-1.600000  0.046719  0.234196
-1.560000  0.016842  0.217378
-1.520000  0.077177  0.208572
-1.480000  0.134194  0.207387
-1.440000  0.187810  0.213294
-1.400000  0.237954  0.225635
-1.360000  0.284565  0.243638
-1.320000  0.327592  0.266439
-1.280000  0.366995  0.293099
-1.240000  0.402747  0.322629
-1.200000  0.434829  0.354012
-1.160000  0.463234  0.386226
-1.120000  0.487964  0.418271
-1.080000  0.509035  0.449184
-1.040000  0.526469  0.478068
-1.000000  0.540302  0.504107
-0.960000  0.550579  0.526583
-0.920000  0.557355  0.544891
-0.880000  0.560693  0.558550
-0.840000  0.560669  0.567212
-0.800000  0.557365  0.570666
-0.760000  0.550875  0.568840
-0.720000  0.541300  0.561802
-0.680000  0.528749  0.549752
-0.640000  0.513341  0.533017
-0.600000  0.495201  0.512039
-0.560000  0.474463  0.487363
-0.520000  0.451266  0.459625
-0.480000  0.425758  0.429529
-0.440000  0.398091  0.397836
-0.400000  0.368424  0.365339
-0.360000  0.336923  0.332850
-0.320000  0.303755  0.301174
-0.280000  0.269096  0.271092
-0.240000  0.233121  0.243344
-0.200000  0.196013  0.218611
-0.160000  0.157956  0.197497
-0.120000  0.119137  0.180517
-0.080000  0.079744  0.168085
-0.040000  0.039968  0.160503
0.000000  0.000000  0.157955
0.040000  0.039968  0.160503
0.080000  0.079744  0.168085
0.120000  0.119137  0.180517
0.160000  0.157956  0.197497
0.200000  0.196013  0.218611
0.240000  0.233121  0.243344
0.280000  0.269096  0.271092
0.320000  0.303755  0.301174
0.360000  0.336923  0.332850
0.400000  0.368424  0.365339
0.440000  0.398091  0.397836
0.480000  0.425758  0.429529
0.520000  0.451266  0.459625
0.560000  0.474463  0.487363
0.600000  0.495201  0.512039
0.640000  0.513341  0.533017
0.680000  0.528749  0.549752
0.720000  0.541300  0.561802
0.760000  0.550875  0.568840
0.800000  0.557365  0.570666
0.840000  0.560669  0.567212
0.880000  0.560693  0.558550
0.920000  0.557355  0.544891
0.960000  0.550579  0.526583
1.000000  0.540302  0.504107
1.040000  0.526469  0.478068
1.080000  0.509035  0.449184
1.120000  0.487964  0.418271
1.160000  0.463234  0.386226
1.200000  0.434829  0.354012
1.240000  0.402747  0.322629
1.280000  0.366995  0.293099
1.320000  0.327592  0.266439
1.360000  0.284565  0.243638
1.400000  0.237954  0.225635
1.440000  0.187810  0.213294
1.480000  0.134194  0.207387
1.520000  0.077177  0.208572
1.560000  0.016842  0.217378
1.600000  0.046719  0.234196
1.640000  0.113403  0.259262
1.680000  0.183098  0.292661
1.720000  0.255679  0.334321
1.760000  0.331015  0.384018
1.800000  0.408964  0.441388
1.840000  0.489374  0.505935
1.880000  0.572084  0.577053
1.920000  0.656927  0.654045
1.960000  0.743725  0.736146
2.000000  0.832294  0.822553
2.040000  0.922439  0.912448
2.080000  1.013963  1.005029
2.120000  1.106657  1.099538
2.160000  1.200310  1.195282
2.200000  1.294702  1.291653
2.240000  1.389610  1.388150
2.280000  1.484804  1.484377
2.320000  1.580050  1.580053
2.360000  1.675110  1.675001
2.400000  1.769745  1.769129
2.440000  1.863709  1.862407
2.480000  1.956757  1.954833
2.520000  2.048639  2.046391
2.560000  2.139107  2.137008
2.600000  2.227911  2.226513
2.640000  2.314799  2.314597
2.680000  2.399523  2.400798
2.720000  2.481832  2.484507
2.760000  2.561481  2.565009
2.800000  2.638223  2.641593
2.840000  2.711816  2.713732
2.880000  2.782020  2.781370
2.920000  2.848602  2.845341
2.960000  2.911330  2.907971
3.000000  2.969977  2.973881
