n: np: a: b: równo(0)/opty(1)
8.000000 150.000000 -3.000000 3.000000 0 /nxp:        fxp:       Ln:
-3.000000  2.969977  2.969977
-2.960000  2.911330  3.843857
-2.920000  2.848602  4.475967
-2.880000  2.782020  4.901411
-2.840000  2.711816  5.151837
-2.800000  2.638223  5.255676
-2.760000  2.561481  5.238368
-2.720000  2.481832  5.122582
-2.680000  2.399523  4.928425
-2.640000  2.314799  4.673633
-2.600000  2.227911  4.373761
-2.560000  2.139107  4.042358
-2.520000  2.048639  3.691136
-2.480000  1.956757  3.330126
-2.440000  1.863709  2.967826
-2.400000  1.769745  2.611346
-2.360000  1.675110  2.266535
-2.320000  1.580050  1.938108
-2.280000  1.484804  1.629762
-2.240000  1.389610  1.344287
-2.200000  1.294702  1.083665
-2.160000  1.200310  0.849166
-2.120000  1.106657  0.641438
-2.080000  1.013963  0.460590
-2.040000  0.922439  0.306264
-2.000000  0.832294  0.177711
-1.960000  0.743725  0.073852
-1.920000  0.656927  -0.006662
-1.880000  0.572084  -0.065393
-1.840000  0.489374  -0.104069
-1.800000  0.408964  -0.124538
-1.760000  0.331015  -0.128727
-1.720000  0.255679  -0.118606
-1.680000  0.183098  -0.096156
-1.640000  0.113403  -0.063339
-1.600000  0.046719  -0.022073
-1.560000  0.016842  0.025789
-1.520000  0.077177  0.078477
-1.480000  0.134194  0.134324
-1.440000  0.187810  0.191774
-1.400000  0.237954  0.249395
-1.360000  0.284565  0.305886
-1.320000  0.327592  0.360085
-1.280000  0.366995  0.410969
-1.240000  0.402747  0.457660
-1.200000  0.434829  0.499423
-1.160000  0.463234  0.535662
-1.120000  0.487964  0.565922
-1.080000  0.509035  0.589883
-1.040000  0.526469  0.607352
-1.000000  0.540302  0.618259
-0.960000  0.550579  0.622650
-0.920000  0.557355  0.620679
-0.880000  0.560693  0.612597
-0.840000  0.560669  0.598745
-0.800000  0.557365  0.579542
-0.760000  0.550875  0.555479
-0.720000  0.541300  0.527104
-0.680000  0.528749  0.495017
-0.640000  0.513341  0.459853
-0.600000  0.495201  0.422278
-0.560000  0.474463  0.382976
-0.520000  0.451266  0.342637
-0.480000  0.425758  0.301954
-0.440000  0.398091  0.261604
-0.400000  0.368424  0.222250
-0.360000  0.336923  0.184524
-0.320000  0.303755  0.149023
-0.280000  0.269096  0.116302
-0.240000  0.233121  0.086866
-0.200000  0.196013  0.061165
-0.160000  0.157956  0.039590
-0.120000  0.119137  0.022465
-0.080000  0.079744  0.010047
-0.040000  0.039968  0.002521
0.000000  0.000000  0.000000
0.040000  0.039968  0.002521
0.080000  0.079744  0.010047
0.120000  0.119137  0.022465
0.160000  0.157956  0.039590
0.200000  0.196013  0.061165
0.240000  0.233121  0.086866
0.280000  0.269096  0.116302
0.320000  0.303755  0.149023
0.360000  0.336923  0.184524
0.400000  0.368424  0.222250
0.440000  0.398091  0.261604
0.480000  0.425758  0.301954
0.520000  0.451266  0.342637
0.560000  0.474463  0.382976
0.600000  0.495201  0.422278
0.640000  0.513341  0.459853
0.680000  0.528749  0.495017
0.720000  0.541300  0.527104
0.760000  0.550875  0.555479
0.800000  0.557365  0.579542
0.840000  0.560669  0.598745
0.880000  0.560693  0.612597
0.920000  0.557355  0.620679
0.960000  0.550579  0.622650
1.000000  0.540302  0.618259
1.040000  0.526469  0.607352
1.080000  0.509035  0.589883
1.120000  0.487964  0.565922
1.160000  0.463234  0.535662
1.200000  0.434829  0.499423
1.240000  0.402747  0.457660
1.280000  0.366995  0.410969
1.320000  0.327592  0.360085
1.360000  0.284565  0.305886
1.400000  0.237954  0.249395
1.440000  0.187810  0.191774
1.480000  0.134194  0.134324
1.520000  0.077177  0.078477
1.560000  0.016842  0.025789
1.600000  0.046719  -0.022073
1.640000  0.113403  -0.063339
1.680000  0.183098  -0.096156
1.720000  0.255679  -0.118606
1.760000  0.331015  -0.128727
1.800000  0.408964  -0.124538
1.840000  0.489374  -0.104069
1.880000  0.572084  -0.065393
1.920000  0.656927  -0.006662
1.960000  0.743725  0.073852
2.000000  0.832294  0.177711
2.040000  0.922439  0.306264
2.080000  1.013963  0.460590
2.120000  1.106657  0.641438
2.160000  1.200310  0.849166
2.200000  1.294702  1.083665
2.240000  1.389610  1.344287
2.280000  1.484804  1.629762
2.320000  1.580050  1.938108
2.360000  1.675110  2.266535
2.400000  1.769745  2.611346
2.440000  1.863709  2.967826
2.480000  1.956757  3.330126
2.520000  2.048639  3.691136
2.560000  2.139107  4.042358
2.600000  2.227911  4.373761
2.640000  2.314799  4.673633
2.680000  2.399523  4.928425
2.720000  2.481832  5.122582
2.760000  2.561481  5.238368
2.800000  2.638223  5.255676
2.840000  2.711816  5.151837
2.880000  2.782020  4.901411
2.920000  2.848602  4.475967
2.960000  2.911330  3.843857
3.000000  2.969977  2.969977
