n: np: a: b: równo(0)/opty(1)
8.000000 150.000000 -6.000000 6.000000 1 /nxp:        fxp:       Ln:
-6.000000  5.761022  6.583955
-5.920000  5.533838  5.619956
-5.840000  5.275800  4.826972
-5.760000  4.989497  4.183292
-5.680000  4.677667  3.669184
-5.600000  4.343169  3.266769
-5.520000  3.988961  2.959890
-5.440000  3.618076  2.733999
-5.360000  3.233596  2.576037
-5.280000  2.838630  2.474333
-5.200000  2.436287  2.418496
-5.120000  2.029656  2.399321
-5.040000  1.621781  2.408694
-4.960000  1.215639  2.439508
-4.880000  0.814117  2.485579
-4.800000  0.419995  2.541565
-4.720000  0.035924  2.602897
-4.640000  0.335592  2.665706
-4.560000  0.692207  2.726760
-4.480000  1.031757  2.783403
-4.400000  1.352265  2.833493
-4.320000  1.651955  2.875354
-4.240000  1.929263  2.907722
-4.160000  2.182845  2.929700
-4.080000  2.411580  2.940711
-4.000000  2.614574  2.940462
-3.920000  2.791168  2.928904
-3.840000  2.940930  2.906196
-3.760000  3.063659  2.872675
-3.680000  3.159377  2.828827
-3.600000  3.228330  2.775258
-3.520000  3.270975  2.712671
-3.440000  3.287972  2.641844
-3.360000  3.280179  2.563608
-3.280000  3.248633  2.478832
-3.200000  3.194543  2.388404
-3.120000  3.119273  2.293217
-3.040000  3.024325  2.194159
-2.960000  2.911330  2.092099
-2.880000  2.782020  1.987880
-2.800000  2.638223  1.882309
-2.720000  2.481832  1.776150
-2.640000  2.314799  1.670121
-2.560000  2.139107  1.564888
-2.480000  1.956757  1.461063
-2.400000  1.769745  1.359200
-2.320000  1.580050  1.259793
-2.240000  1.389610  1.163279
-2.160000  1.200310  1.070037
-2.080000  1.013963  0.980385
-2.000000  0.832294  0.894589
-1.920000  0.656927  0.812856
-1.840000  0.489374  0.735345
-1.760000  0.331015  0.662164
-1.680000  0.183098  0.593376
-1.600000  0.046719  0.529003
-1.520000  0.077177  0.469029
-1.440000  0.187810  0.413401
-1.360000  0.284565  0.362038
-1.280000  0.366995  0.314835
-1.200000  0.434829  0.271662
-1.120000  0.487964  0.232373
-1.040000  0.526469  0.196809
-0.960000  0.550579  0.164802
-0.880000  0.560693  0.136178
-0.800000  0.557365  0.110762
-0.720000  0.541300  0.088381
-0.640000  0.513341  0.068868
-0.560000  0.474463  0.052064
-0.480000  0.425758  0.037822
-0.400000  0.368424  0.026010
-0.320000  0.303755  0.016511
-0.240000  0.233121  0.009228
-0.160000  0.157956  0.004082
-0.080000  0.079744  0.001018
0.000000  0.000000  0.000000
0.080000  0.079744  0.001018
0.160000  0.157956  0.004082
0.240000  0.233121  0.009228
0.320000  0.303755  0.016511
0.400000  0.368424  0.026010
0.480000  0.425758  0.037822
0.560000  0.474463  0.052064
0.640000  0.513341  0.068868
0.720000  0.541300  0.088381
0.800000  0.557365  0.110762
0.880000  0.560693  0.136178
0.960000  0.550579  0.164802
1.040000  0.526469  0.196809
1.120000  0.487964  0.232373
1.200000  0.434829  0.271662
1.280000  0.366995  0.314835
1.360000  0.284565  0.362038
1.440000  0.187810  0.413401
1.520000  0.077177  0.469029
1.600000  0.046719  0.529003
1.680000  0.183098  0.593376
1.760000  0.331015  0.662164
1.840000  0.489374  0.735345
1.920000  0.656927  0.812856
2.000000  0.832294  0.894589
2.080000  1.013963  0.980385
2.160000  1.200310  1.070037
2.240000  1.389610  1.163279
2.320000  1.580050  1.259793
2.400000  1.769745  1.359200
2.480000  1.956757  1.461063
2.560000  2.139107  1.564888
2.640000  2.314799  1.670121
2.720000  2.481832  1.776150
2.800000  2.638223  1.882309
2.880000  2.782020  1.987880
2.960000  2.911330  2.092099
3.040000  3.024325  2.194159
3.120000  3.119273  2.293217
3.200000  3.194543  2.388404
3.280000  3.248633  2.478832
3.360000  3.280179  2.563608
3.440000  3.287972  2.641844
3.520000  3.270975  2.712671
3.600000  3.228330  2.775258
3.680000  3.159377  2.828827
3.760000  3.063659  2.872675
3.840000  2.940930  2.906196
3.920000  2.791168  2.928904
4.000000  2.614574  2.940462
4.080000  2.411580  2.940711
4.160000  2.182845  2.929700
4.240000  1.929263  2.907722
4.320000  1.651955  2.875354
4.400000  1.352265  2.833493
4.480000  1.031757  2.783403
4.560000  0.692207  2.726760
4.640000  0.335592  2.665706
4.720000  0.035924  2.602897
4.800000  0.419995  2.541565
4.880000  0.814117  2.485579
4.960000  1.215639  2.439508
5.040000  1.621781  2.408694
5.120000  2.029656  2.399321
5.200000  2.436287  2.418496
5.280000  2.838630  2.474333
5.360000  3.233596  2.576037
5.440000  3.618076  2.733999
5.520000  3.988961  2.959890
5.600000  4.343169  3.266769
5.680000  4.677667  3.669184
5.760000  4.989497  4.183292
5.840000  5.275800  4.826972
5.920000  5.533838  5.619956
6.000000  5.761022  6.583955
