n: np: a: b: równo(0)/opty(1)
8.000000 150.000000 -6.000000 6.000000 0 /nxp:        fxp:       Ln:
-6.000000  5.761022  5.761022
-5.920000  5.533838  2.896323
-5.840000  5.275800  0.641451
-5.760000  4.989497  -1.084818
-5.680000  4.677667  -2.356089
-5.600000  4.343169  -3.238870
-5.520000  3.988961  -3.793049
-5.440000  3.618076  -4.072370
-5.360000  3.233596  -4.124872
-5.280000  2.838630  -3.993310
-5.200000  2.436287  -3.715557
-5.120000  2.029656  -3.324981
-5.040000  1.621781  -2.850807
-4.960000  1.215639  -2.318454
-4.880000  0.814117  -1.749862
-4.800000  0.419995  -1.163788
-4.720000  0.035924  -0.576101
-4.640000  0.335592  -0.000042
-4.560000  0.692207  0.553514
-4.480000  1.031757  1.075826
-4.400000  1.352265  1.560063
-4.320000  1.651955  2.001097
-4.240000  1.929263  2.395306
-4.160000  2.182845  2.740395
-4.080000  2.411580  3.035228
-4.000000  2.614574  3.279673
-3.920000  2.791168  3.474458
-3.840000  2.940930  3.621035
-3.760000  3.063659  3.721463
-3.680000  3.159377  3.778293
-3.600000  3.228330  3.794469
-3.520000  3.270975  3.773232
-3.440000  3.287972  3.718040
-3.360000  3.280179  3.632490
-3.280000  3.248633  3.520253
-3.200000  3.194543  3.385013
-3.120000  3.119273  3.230415
-3.040000  3.024325  3.060020
-2.960000  2.911330  2.877263
-2.880000  2.782020  2.685422
-2.800000  2.638223  2.487592
-2.720000  2.481832  2.286656
-2.640000  2.314799  2.085272
-2.560000  2.139107  1.885859
-2.480000  1.956757  1.690587
-2.400000  1.769745  1.501371
-2.320000  1.580050  1.319869
-2.240000  1.389610  1.147486
-2.160000  1.200310  0.985372
-2.080000  1.013963  0.834437
-2.000000  0.832294  0.695352
-1.920000  0.656927  0.568563
-1.840000  0.489374  0.454307
-1.760000  0.331015  0.352621
-1.680000  0.183098  0.263360
-1.600000  0.046719  0.186214
-1.520000  0.077177  0.120724
-1.440000  0.187810  0.066300
-1.360000  0.284565  0.022243
-1.280000  0.366995  -0.012243
-1.200000  0.434829  -0.038026
-1.120000  0.487964  -0.056032
-1.040000  0.526469  -0.067223
-0.960000  0.550579  -0.072582
-0.880000  0.560693  -0.073097
-0.800000  0.557365  -0.069741
-0.720000  0.541300  -0.063457
-0.640000  0.513341  -0.055147
-0.560000  0.474463  -0.045656
-0.480000  0.425758  -0.035758
-0.400000  0.368424  -0.026147
-0.320000  0.303755  -0.017429
-0.240000  0.233121  -0.010110
-0.160000  0.157956  -0.004591
-0.080000  0.079744  -0.001163
0.000000  0.000000  -0.000000
0.080000  0.079744  -0.001163
0.160000  0.157956  -0.004591
0.240000  0.233121  -0.010110
0.320000  0.303755  -0.017429
0.400000  0.368424  -0.026147
0.480000  0.425758  -0.035758
0.560000  0.474463  -0.045656
0.640000  0.513341  -0.055147
0.720000  0.541300  -0.063457
0.800000  0.557365  -0.069741
0.880000  0.560693  -0.073097
0.960000  0.550579  -0.072582
1.040000  0.526469  -0.067223
1.120000  0.487964  -0.056032
1.200000  0.434829  -0.038026
1.280000  0.366995  -0.012243
1.360000  0.284565  0.022243
1.440000  0.187810  0.066300
1.520000  0.077177  0.120724
1.600000  0.046719  0.186214
1.680000  0.183098  0.263360
1.760000  0.331015  0.352621
1.840000  0.489374  0.454307
1.920000  0.656927  0.568563
2.000000  0.832294  0.695352
2.080000  1.013963  0.834437
2.160000  1.200310  0.985372
2.240000  1.389610  1.147486
2.320000  1.580050  1.319869
2.400000  1.769745  1.501371
2.480000  1.956757  1.690587
2.560000  2.139107  1.885859
2.640000  2.314799  2.085272
2.720000  2.481832  2.286656
2.800000  2.638223  2.487592
2.880000  2.782020  2.685422
2.960000  2.911330  2.877263
3.040000  3.024325  3.060020
3.120000  3.119273  3.230415
3.200000  3.194543  3.385013
3.280000  3.248633  3.520253
3.360000  3.280179  3.632490
3.440000  3.287972  3.718040
3.520000  3.270975  3.773232
3.600000  3.228330  3.794469
3.680000  3.159377  3.778293
3.760000  3.063659  3.721463
3.840000  2.940930  3.621035
3.920000  2.791168  3.474458
4.000000  2.614574  3.279673
4.080000  2.411580  3.035228
4.160000  2.182845  2.740395
4.240000  1.929263  2.395306
4.320000  1.651955  2.001097
4.400000  1.352265  1.560063
4.480000  1.031757  1.075826
4.560000  0.692207  0.553514
4.640000  0.335592  -0.000042
4.720000  0.035924  -0.576101
4.800000  0.419995  -1.163788
4.880000  0.814117  -1.749862
4.960000  1.215639  -2.318454
5.040000  1.621781  -2.850807
5.120000  2.029656  -3.324981
5.200000  2.436287  -3.715557
5.280000  2.838630  -3.993310
5.360000  3.233596  -4.124872
5.440000  3.618076  -4.072370
5.520000  3.988961  -3.793049
5.600000  4.343169  -3.238870
5.680000  4.677667  -2.356089
5.760000  4.989497  -1.084818
5.840000  5.275800  0.641451
5.920000  5.533838  2.896323
6.000000  5.761022  5.761022
